tensor(0.6840, grad_fn=<MseLossBackward0>) tensor(0.0697, grad_fn=<MseLossBackward0>)
tensor(0.7721, grad_fn=<MseLossBackward0>) tensor(0.0665, grad_fn=<MseLossBackward0>)
tensor(0.6361, grad_fn=<MseLossBackward0>) tensor(0.0538, grad_fn=<MseLossBackward0>)
tensor(0.6702, grad_fn=<MseLossBackward0>) tensor(0.0316, grad_fn=<MseLossBackward0>)
tensor(0.6593, grad_fn=<MseLossBackward0>) tensor(0.0159, grad_fn=<MseLossBackward0>)
tensor(0.6817, grad_fn=<MseLossBackward0>) tensor(0.0088, grad_fn=<MseLossBackward0>)
tensor(0.6798, grad_fn=<MseLossBackward0>) tensor(0.0127, grad_fn=<MseLossBackward0>)
tensor(0.6110, grad_fn=<MseLossBackward0>) tensor(0.0149, grad_fn=<MseLossBackward0>)
tensor(0.6756, grad_fn=<MseLossBackward0>) tensor(0.0209, grad_fn=<MseLossBackward0>)
tensor(0.7023, grad_fn=<MseLossBackward0>) tensor(0.0227, grad_fn=<MseLossBackward0>)
tensor(0.6620, grad_fn=<MseLossBackward0>) tensor(0.0229, grad_fn=<MseLossBackward0>)
tensor(0.6492, grad_fn=<MseLossBackward0>) tensor(0.0178, grad_fn=<MseLossBackward0>)
tensor(0.6579, grad_fn=<MseLossBackward0>) tensor(0.0139, grad_fn=<MseLossBackward0>)
tensor(0.6560, grad_fn=<MseLossBackward0>) tensor(0.0113, grad_fn=<MseLossBackward0>)
tensor(0.6405, grad_fn=<MseLossBackward0>) tensor(0.0127, grad_fn=<MseLossBackward0>)
tensor(0.6601, grad_fn=<MseLossBackward0>) tensor(0.0076, grad_fn=<MseLossBackward0>)
tensor(0.6138, grad_fn=<MseLossBackward0>) tensor(0.0097, grad_fn=<MseLossBackward0>)
tensor(0.6208, grad_fn=<MseLossBackward0>) tensor(0.0125, grad_fn=<MseLossBackward0>)
tensor(0.6624, grad_fn=<MseLossBackward0>) tensor(0.0138, grad_fn=<MseLossBackward0>)
tensor(0.6462, grad_fn=<MseLossBackward0>) tensor(0.0117, grad_fn=<MseLossBackward0>)
